,Profile,Campany,Skills,Exp,Location
97,GM-Planning  &  Monitoring     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",GM-Planning&Monitoring,15 - 20 yrs,"Delhi/NCR,  Bhopal"
98,"""ROOM ATTENDANT""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""ADDRESSINGCLIENTQUERIES"",""POLITE"",""CHANGINGBEDANDLINEN"",""REPLACINGBATHROOMAMMENITIES"",""SWEEPINGANDMOPPINGFLOORS""",2 - 5 yrs,₹Rs 4.50 - 5.00 Lacs p.a.
99,AGM- SCM     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AGM-SCM,10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Chandigarh,  Lucknow"
100,"""AC TECHNICIAN""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","In-depthKnowledgeandexperiencetoinstall,maintainandrepairAC",2 - 3 yrs,₹Rs 3.00 - 5.00 Lacs p.a.
101,"""STORE ASSOCIATES""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",CommunicationandInterpersonalSkills,2 - 4 yrs,₹Rs 1.00 - 2.00 Lacs p.a.
102,"HRBP , ""human resource business partner""     Jobs Plan Dot Com     (More Jobs)","Jobs Plan Dot Com
     (More Jobs)","hrbp,""peoplemanagement"",""employeeengagement"",""talentacquisition"",""talentmanagement"",Recruitment,staffing,payroll,Salary",5 - 10 yrs,₹Rs 7.00 - 15.00 Lacs p.a.
103,"""Sales executive""     Jobs Plan Dot Com     (More Jobs)","Jobs Plan Dot Com
     (More Jobs)","sales,marketing,lpg,oil,gas,distributor,oxygen,""keyaccounts"",BusinessDevelopment",2 - 7 yrs,₹Rs 2.00 - 5.00 Lacs p.a.
104,Plant Head for Leading Sheet Metal Industry     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PlantHeadforLeadingSheetMetalIndustry,10 - 15 yrs,Delhi/NCR
105,"""digital marketing""     Jobs Plan Dot Com     (More Jobs)","Jobs Plan Dot Com
     (More Jobs)","""digitalmarketing"",Ppc,GoogleAdwords,GoogleAnalytics,Seo,SearchEngineOptimization,sem,ecommerce,dtc,d2c",3 - 8 yrs,₹Rs 7.00 - 15.00 Lacs p.a.
106,ECOMMERCE     Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)",ENGLISHCOMMUNICATION,2 - 3 yrs,₹Rs 3.00 - 6.00 Lacs p.a.
107,"Professor Education , Associate Professor , Technical Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","businessanalyst,researchassociate,assistantprofessor,Trainer,Coordinator,administration,systemadmin,technicalsupportengineer,systemadministrator",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
108,"Tech Assistant , Associate Consultant , Business Analyst , Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","HRAdministration,adminassistant,customerservice,customerserviceexecutive,technicalsupportrepresentative,technicalteamleader,teamleader",0 - 1 yrs,"Mysoru / Mysore,  Kottayam,  Kalyan,  Lonavala,  Imphal"
109,"""FLOOR SUPERVISOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Exhibitingleadershipability,2 - 3 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
110,Purchase Manager  /  Sr. Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","purchase,Management",10 - 15 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
111,Electrical Testing Commissioning Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","commissioning,testing",8 - 13 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
112,DUTY MANAGER     Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)","Excellentcommunication,strongtimemanagement,versatilityandconflictresolution,Leadership,Interpersonal",3 - 5 yrs,₹Rs 8.00 - 10.00 Lacs p.a.
113,Urgent Requirements for Al Khalili-Oman     Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)","Recruiter,talentacquisition,sourcing,screening,Staffing",1 - 3 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai,  Other City(s) in Oman"
114,Sr. Relationship Manager - Group Insurance     TALENT HUB JOBS     (More Jobs),"TALENT HUB JOBS
     (More Jobs)","insurance,sales,insurancesales,groupinsurance",4 - 8 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
115,Urgent Requirements for Saudi Arabia  ( BASMA )      Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)","Ecommerce,ASSOCIATES,EnglishSkills",0 - 3 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai,  Other City(s) in Saudi Arabia"
116,WANTED HR ACTS  &  MARKETING EXE FOR SEYCHELLES ISLAND     Chennai Jobs     (More Jobs),"Chennai Jobs
     (More Jobs)","HRAdministration,ACCOUNTS,MARKETING",2 - 7 yrs,₹Rs 50.00 - 60.00 Lacs p.a.
117,Business Development - Insurance     TALENT HUB JOBS     (More Jobs),"TALENT HUB JOBS
     (More Jobs)","insurance,sales,BankingInsurance",1 - 4 yrs,₹Rs 1.00 - 5.00 Lacs p.a.
118,Receptionist     Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)","Writtenandverbalcommunicationskills,Presentation,Communication,Analytical,Interpersonal",2 - 3 yrs,₹Rs 3.00 - 4.00 Lacs p.a.
119,Transcriptionist     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","Proofreading,Transcription",0 - 1 yrs,"Chandigarh,  Amritsar,  Ludhiana,  Patiala,  Other City(s) in Punjab"
120,Drilling  Crew     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)","WellsitedrillingEngineer/DrillingFulidSupervisor/CoilTubingSupervisor/Mechanic/WellHeadWellTestingOperator/Process&ProductionOperator,",5 - 10 yrs,Other Gulf/Middle East Location(s)
121,Mechanical Maintenance Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","MechanicalConstruction,MechanicalMaintenanceCommissioning,MechanicalEquipmentConstructionInstallation",10 - 15 yrs,₹Rs 9.00 - 15.00 Lacs p.a.
122,"""STORE SUPERVISOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""Communication"",""InterpersonalSkills"",""ProblemSolving"",""TimeandPriorityManagement"",""TimeManagement""",2 - 5 yrs,₹Rs 7.50 - 8.00 Lacs p.a.
123,"Workover Rig , Full Crew     Nicky Jobs     (More Jobs)","Nicky Jobs
     (More Jobs)",SupervisorDrillingEngineer/RigManager/NightToolpusher/Driller/AssistDriller/Derrickman/Floorman/HSEFieldSupervisor/RigMechanic&Electrician,5 - 10 yrs,Other Gulf/Middle East Location(s)
124,Retail Store Manager     Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","Retail,Store,Sales,BusinessDevelopment",1 - 5 yrs,₹Rs 1.80 - 3.00 Lacs p.a.
125,Mechanical Engineer - Piping     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PipingEquipmentErrection,8 - 13 yrs,₹Rs 6.00 - 10.50 Lacs p.a.
126,Customer care executive     SUBHADRA JOBS CONSULTANCY     (More Jobs),"SUBHADRA JOBS CONSULTANCY
     (More Jobs)","Customercareexecutive,CCE,Blendedprocess,BPO",0 - 2 yrs,₹Rs 0.50 - 2.00 Lacs p.a.
127,"Medical Receptionist , Associate Back Office , Associate Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","dataentryoperator,computerassistant,computerteacher,desktopsupport,technicalsupportengineer,systemadmin,ComputerNetworking",0 - 2 yrs,"Delhi/NCR,  Karimnagar,  Other City(s) in Andhra Pradesh,  Other City(s) in Gujarat,  Other City(s) in Kerala"
128,"""sales engineer""     Jobs Plan Dot Com     (More Jobs)","Jobs Plan Dot Com
     (More Jobs)","sales,marketing,equipment,tool,manufacturing,automation,machine,food,pharma,packaging",2 - 7 yrs,₹Rs 3.00 - 8.00 Lacs p.a.
129,"Workstation Technician , Computer Technician     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Marketing,researchassociate,assistantprofessor,Trainer,technicalconsultant,Testing",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
130,"Part Time Sales Associate , Associate Process Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Marketing,researchassociate,assistantprofessor,Trainer,technicalconsultant",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
131,"Human Resource Associate , Technical Associate , Technical Engneer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","HRAdministration,adminassistant,customerservice,customerserviceexecutive,technicalsupportrepresentative,technicalteamleader,teamleader",0 - 1 yrs,"Mysoru / Mysore,  Kottayam,  Kalyan,  Lonavala,  Imphal"
132,AGM Costing     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","costing,""costaccount"",budgeting,""costanalysis"",mis,""MISCosting"",""productcosting"",sap",8 - 13 yrs,₹Rs 14.00 - 22.00 Lacs p.a.
133,"Dot net developer with angular , Software Engineer     SUBHADRA JOBS CONSULTANCY     (More Jobs)","SUBHADRA JOBS CONSULTANCY
     (More Jobs)","asp,.net,Mvc,Angular",2 - 5 yrs,₹Rs 1.00 - 5.00 Lacs p.a.
134,"Customer Account Representative , Business Analyst     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,MicrosoftTechnologies,Teaching,Professor,Programming,LegacySystem",0 - 1 yrs,"Allahabad,  Ghaziabad,  Gorakhpur,  Kanpur,  Lucknow"
135,SALES OFFICERS FOR AGRA     Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","Marketing,marketingexecutive,seniormarketingexecutive",1 - 5 yrs,₹Rs 1.20 - 3.00 Lacs p.a.
136,"""BELL MAN"" , Customer Support Engineer     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","FrontOffice,GuestService,GuestRooms,GuestLuggage,CustomerService,GreetingGuests",2 - 3 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
137,HVAC Project Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",HVACProjectEngineer,7 - 12 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
138,"Head Clerk , Computer Analyst , Operation Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator,ComputerAssembling,TechnicalAnalysis",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
139,"""LINEN SUPERVISOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""SUPERVISEROOMOPERATIONS"",""ENSUREPROPERSTORAGE"",""RESPONDINGTOGUESTNEEDS"",""REPAIRSANDALTERATIONWORKS""",2 - 5 yrs,₹Rs 7.50 - 8.00 Lacs p.a.
140,Sr. Merchandiser  /  Merchandiser     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Sr.Merchandiser/Merchandiser,Merchandising,Merchandiser,seniormerchandiser",7 - 12 yrs,"Delhi/NCR,  Mumbai,  Pune,  Agra,  Lucknow"
141,Supervisor  ( B.Sc / M.Sc )      Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","B.sc,M.Sc,Agriculture,Horticulture",0 - 3 yrs,₹Rs 1.20 - 2.40 Lacs p.a.
142,"Associate Software Engineer , Associate Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Trainer,WebTechnologies,Database,MsSqlServer",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
143,"Branch Office Assistant , Communtion Assistant , Astron Chowk     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","dataentryoperator,computerassistant,computerteacher,desktopsupport,technicalsupportengineer,systemadmin,ComputerNetworking",0 - 2 yrs,"Delhi/NCR,  Karimnagar,  Other City(s) in Andhra Pradesh,  Other City(s) in Gujarat,  Other City(s) in Kerala"
144,Management Analyst Human Resources     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","Clients,Exchange,ExchangeServer5.5,WindowsServer,AdvertisementSales,MarketingAdvertising",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
145,Java Developer / Software Engineer     SUBHADRA JOBS CONSULTANCY     (More Jobs),"SUBHADRA JOBS CONSULTANCY
     (More Jobs)","javadeveloper,springboot,Softwareengineer",5 - 9 yrs,₹Rs 3.00 - 12.00 Lacs p.a.
146,"""HOUSEKEEPING COORDINATOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""Managementskills"",""Professionalattitude"",""Decision-makingskills"",""Purchasingandinventoryskills"",""AdministrativeDuties"",""TimeManagement""",2 - 5 yrs,₹Rs 7.50 - 8.00 Lacs p.a.
147,Manufacturing Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Mechanical,Manufacturing,Industrial,Engineering,Programming",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
148,"Front Office Executive , Computer Operator , Data Entry Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,Database,Customer,Office-mgmt,Bpo",0 - 1 yrs,₹Rs 1.10 - 3.20 Lacs p.a.
149,"Student Associate , Executive Operations , Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,MicrosoftTechnologies,Documentation,BusinessRequirements",0 - 1 yrs,₹Rs 1.10 - 3.20 Lacs p.a.
150,Pro Sales Associate     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","DataCentreOperation,systemadministrator,systemadmin",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
151,"Full Time Faculty , Computer Analyst , Office Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator,ComputerAssembling,TechnicalAnalysis",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
152,"Sales Account Representative , Sales Executive , Area Sales Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Purchase,Management,Telemarketing,Business",0 - 1 yrs,"Ahmednagar,  Aurangabad,  Chandrapur,  Kalyan,  Mahabaleshwar"
153,"Technical Analyst , Technical Support Executive , Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
154,Assistant Manager Project Execution - Madhya Pradesh     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AssistantManager,10 - 15 yrs,"Bhopal,  Indore,  Satna"
155,Rig Store keeper Material man     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)",Drilling,3 - 8 yrs,₹Rs 10.00 - 12.00 Lacs p.a.
156,Communtion Assistant     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","student,executiveoperation",0 - 1 yrs,"Guntur,  Chennai,  Coimbatore,  Erode,  Kanniyakumari"
157,Civil foremen / Carpenter / Mason / Bar Bender / Plumber / General Worker     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)",constructionsite,3 - 5 yrs,
158,"Senior Clerk Typist , Customer Service Representative     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","computeroperator,dataentryoperator,CustomerServiceManagement,Associate,technicalassociate",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
159,"Marketing Administrator , Marketing Executive , Business Development     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","MarketingAdvertising,AfterSalesSupport,Telemarketing,Database,Customer,Management",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
160,Ecommerce Manager     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","ecommerce,dtc,d2c,shopify,sales,marketing,cosmetic,""beautyproducts"",beauty,nykaa,amazon,myntra",5 - 10 yrs,"Mumbai,  Navi Mumbai,  Thane"
161,"Freelance Proofreader , Executive Dba     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Typing,Shorthand,OfficeManagement,systemadministrator,PerformanceTuning,DataAdministration,DatabaseServers,MsAccess",0 - 1 yrs,"Chandigarh,  Chittoor,  Tirupati,  Junagarh,  Cochin/ Kochi/ Ernakulam"
162,Market Coordinator / Analyst     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","Clients,Exchange,ExchangeServer5.5,WindowsServer,Backups,Troubleshooting",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
163,"""BPO Customer Service Associate"" , Computer Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","40Wpm,GoodComputerknowledge,Hightypingskills,Excel,MsExcel,Marketing,salesexecutive,salesofficer,customercareofficer,Database",1 - 4 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
164,"Executive Assistant  ( EXA )  , Assistant , Communtion Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","BackOffice,officeexecutive,systemadministrator,technicalsupportengineer,Marketing,marketingexecutive,assistantsalesmanager",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
165,"Project Analyst II , Account Manager Support , Associate Operation     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataBaseAdministration,ComputerAssembling,Troubleshooting,WindowsServer",0 - 1 yrs,₹Rs 1.10 - 3.20 Lacs p.a.
166,home base jobs     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","BackOffice,officeexecutive,systemadministrator,technicalsupportengineer,Staffing,Resourcing,Recruitment",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
167,Production Manager - Garments Factory     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProductionManager-GarmentsFactory,10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
168,"Human Resource Assistant , Communtion Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,EntryOperator,computeroperator,officeassistant",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
169,"Online Marketing Associate , Executive Marketing , Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Typing,EntryOperator,computeroperator,officeassistant,backofficeassistant,administration",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
170,Proof Reader / Copy Marker     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","systemadministrator,systemengineer,customersupportengineer,technicalsupportengineer,hardwarenetworkengineer,consultant",0 - 1 yrs,"Chandigarh,  Chittoor,  Tirupati,  Junagarh,  Cochin/ Kochi/ Ernakulam"
171,Home Worker     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","Marketing,researchassociate,assistantprofessor,Trainer,technicalconsultant",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
172,"Associate Consultant Implementation , Technical Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataCentreOperation,BackOffice,technicalsupportexecutive,systemadministrator,systemadmin,customersupportengineer,serviceengineer,servicecoordinator",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
173,Sales Engineer     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","b2b,industrial,sales",3 - 8 yrs,"Guwahati,  Jammu,  Other City(s) in Jammu & Kashmir,  Alwar"
174,"Marketing , Marketing Executive , Business Development Executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","MarketingCommunication,Presentation,Analytical,Communication,Interpersonal,Leadership,Teamwork,MicrosoftOffice",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
175,"Reception , Front Office Executive , Customer Relations Offcier     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,Database,Customer,Office-mgmt,Bpo",0 - 1 yrs,₹Rs 1.10 - 3.20 Lacs p.a.
176,"Student Assistant , Executive Operations , Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
177,HR Recruiter  ( From Recruitment Consultancy only )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",HRRecruiter,1 - 5 yrs,₹Rs 1.50 - 3.00 Lacs p.a.
178,Tele Collection Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",TeleCollectionExecutive,0 - 3 yrs,₹Rs 1.00 - 1.80 Lacs p.a.
179,"Associate Consultant , Associate Consultant Networks     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","WindowsServer,Troubleshooting,Backups,Desktops",0 - 1 yrs,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur"
180,Work Study Student     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","GOODTYPINGSKILLS,40Wpm,EntryOperator",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
181,Senior Engineer- Automation  &  Electronics     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Automation&Electronics,7 - 12 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
182,Sr. Design  /  Design Engineer - - - Electrical Engineering     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Sr.Design/DesignEngineer,5 - 10 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
183,Project Manager Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","HVAC,MEP,Plumbing,Firefighting,",8 - 12 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
184,Project Manager - MEP     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectManager-MEP,8 - 12 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
185,"Data Analyst , Business Analyst , Assistant Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataQuality,Metadata,BusinessRequirements,FunctionalSpecifications,customerserviceexecutive,technicalsupportrepresentative,technicalteamleader",0 - 1 yrs,₹Rs 1.10 - 3.25 Lacs p.a.
186,Assistant Manager – Production     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Quality,Management,ProductionManufacturing,Planning",10 - 15 yrs,"Ahmedabad,  Delhi/NCR,  Baddi,  Jamshedpur,  Bengaluru / Bangalore"
187,"Computer Operator , Data Entry Operator , Data Entry , typing     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","dataentry,dataentryoperator,computeroperator,typing,type",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
188,MIS - Senior  Manger / Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","MIS,,Executive,excel,BackOfficeOperations,assistantmanager,MISexecutive",8 - 12 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
189,"Back End / Data / Transaction Processing , Assistant Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","computeroperator,dataentryoperator,dataentry,systemadministrator,technicalsupportengineer,desktopengineer,systemengineer,customersupportexecutive",0 - 3 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
190,"Production Engineer  /  Manager , Manager     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","ProductionEngineer/Manager,Materials,Production,productionengineer",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
191,Manager - Dispatch     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manager-Dispatch,Packing,Dispatch,Invoice,Inventory,InventoryControl,Purchasing",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Chandigarh,  Baddi"
192,Administration  /  Facilities Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Administration/FacilitiesManager,administration",10 - 15 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
193,"Urgent Hiring Data entry jobs , Data Entry Operator , home base jobs     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","ComputerOperator,BackOffice,FreelanceDataEntryoperator,TypeWriting,officeexecutive,DataEntry,dataentryoperator",0 - 3 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
194,Resident Construction Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ResidentConstructionManager,20 - 25 yrs,"Ahmedabad,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai"
